date,description,debit,credit,balance,type
2024-04-02,RTGS-INV/TCS/24001,0,12500000,42500000,CR
2024-04-05,NEFT-SALARY-APR,8500000,0,34000000,DR
2024-04-10,RTGS-INV/MRF/24002,0,8900000,42900000,CR
2024-04-15,CHEQUE-654321,3200000,0,39700000,DR
2024-04-20,RTGS-INV/JSPL/24003,0,15200000,54900000,CR
2024-05-03,RTGS-INV/SAIL/24004,0,11800000,66700000,CR
2024-05-08,NEFT-SALARY-MAY,8500000,0,58200000,DR
2024-05-12,EMI-TL-SBI,4200000,0,54000000,DR
2024-05-18,RTGS-INV/HINDALCO/24005,0,13600000,67600000,CR
2024-05-25,CHEQUE-654322,2800000,0,64800000,DR
2024-06-01,RTGS-INV/TCS/24006,0,9800000,74600000,CR
2024-06-05,NEFT-SALARY-JUN,8500000,0,66100000,DR
2024-06-10,RTGS-INV/VEDANTA/24007,0,14500000,80600000,CR
2024-06-15,EMI-TL-SBI,4200000,0,76400000,DR
2024-06-20,RTGS-INV/TATA-MOTORS/24008,0,16200000,92600000,CR
2024-06-28,UTILITIES-Q1,1500000,0,91100000,DR
2024-07-02,RTGS-INV/JSPL/24009,0,12100000,103200000,CR
2024-07-08,NEFT-SALARY-JUL,8700000,0,94500000,DR
2024-07-15,RTGS-INV/ACC/24010,0,10500000,105000000,CR
2024-07-22,CHEQUE-654323,5500000,0,99500000,DR
2024-07-30,RTGS-INV/HINDALCO/24011,0,13800000,113300000,CR
